,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
153,153,1673632800,1.22153,1.22271,1.21824,1.22265,16884,1,0,0.0009164628451187111,0.037499042513228005,0.07166492452578284,0.5232551734529073,3
154,154,1673643600,1.22266,1.22395,1.22242,1.22351,8334,4,0,0.0007031429141453616,0.0374996041711331,0.07171306689861087,0.5229117341216304,3
155,155,1673827200,1.221,1.22467,1.21962,1.22451,6184,7,0,0.000816986834766185,0.036179160689895316,0.11095556436558943,0.32606891683852796,3
156,156,1673838000,1.2245,1.2289,1.22431,1.22689,9928,7,0,0.001941748182910384,0.03582128228606266,0.15217238598210117,0.2353993601064784,3
157,157,1673848800,1.22689,1.22729,1.22335,1.22421,7452,1,0,-0.002186774156889366,0.037061750621736514,0.11424811964815387,0.32439702934170256,0
158,158,1673859600,1.22421,1.22428,1.21716,1.22003,17730,1,0,-0.0034202893946051484,0.038980808729201476,0.0504653835833852,0.7724266806531357,0
159,159,1673870400,1.22003,1.22255,1.21841,1.21874,13676,3,0,-0.0010579104387139996,0.03921691431592378,0.0385606663248962,1.0170185853506344,2
160,160,1673881200,1.21874,1.22114,1.21803,1.2205,15004,1,0,0.0014430726828251698,0.03947125539803417,0.05350707059059903,0.7376829821247793,3
161,161,1673892000,1.22051,1.22113,1.21828,1.21874,8302,1,0,-0.0014430726828252233,0.039718686556225964,0.02247044020579608,1.7675971717715093,2
162,162,1673902800,1.21873,1.21988,1.21864,1.21917,3732,0,0,0.0003527611802397852,0.03927096705655397,0.04536233593842988,0.8657174778180801,0
163,163,1673913600,1.21901,1.22129,1.21855,1.21972,6836,7,0,0.00045102485911501205,0.03831754345523867,0.01988988811899269,1.9264836094603048,3
164,164,1673924400,1.21972,1.22058,1.21718,1.21906,12817,6,0,-0.0005412542468878118,0.03604134420574451,0.05633928972702463,0.6397195346333293,0
165,165,1673935200,1.21904,1.22056,1.21693,1.21734,8352,1,0,-0.0014119194596432143,0.03599157335474487,0.017855457963113056,2.0157182990824745,2
166,166,1673946000,1.21731,1.22299,1.21716,1.22085,19963,1,0,0.0028791869581468853,0.030767050940851973,-0.01954421819354985,-1.5742277657852788,4
167,167,1673956800,1.22087,1.22728,1.21919,1.22577,18303,1,0,0.004021880497962641,0.0332655993105682,0.048852333508969704,0.6809418695313778,4
168,168,1673967600,1.22574,1.23,1.2233,1.22786,32994,1,0,0.0017035987540704985,0.03366244913152838,0.06919722195600925,0.4864711064980125,3
