,time,open,high,low,close,tick_volume,spread,real_volume
281,1675706400,132.847,132.903,132.6,132.614,17048,0,0
282,1675717200,132.614,132.676,132.445,132.652,8048,2,0
283,1675728000,132.626,132.704,132.391,132.539,12156,2,0
284,1675738800,132.539,132.553,132.141,132.272,16068,1,0
285,1675749600,132.272,132.406,132.028,132.1,19020,0,0
286,1675760400,132.101,132.324,131.692,131.808,31396,0,0
287,1675771200,131.808,132.247,131.768,132.014,22951,0,0
288,1675782000,132.014,132.142,131.223,131.244,32028,0,0
289,1675792800,131.244,131.479,130.476,131.352,41419,0,0
290,1675803600,131.352,131.398,131.008,131.035,17629,2,0
291,1675814400,131.058,131.139,130.722,130.857,21133,2,0
292,1675825200,130.859,131.381,130.807,131.126,17513,0,0
293,1675836000,131.129,131.271,131.006,131.183,18825,0,0
294,1675846800,131.183,131.373,130.597,130.672,36976,0,0
295,1675857600,130.673,131.082,130.649,131.069,22573,0,0
296,1675868400,131.067,131.54,131.032,131.45,29883,0,0
297,1675879200,131.451,131.464,131.085,131.254,20386,0,0
298,1675890000,131.253,131.463,131.211,131.379,9553,2,0
299,1675900800,131.362,131.57,131.235,131.511,14697,2,0
300,1675911600,131.511,131.828,131.309,131.404,14629,2,0
301,1675922400,131.406,131.756,130.766,131.274,14975,0,0
302,1675933200,131.27,131.371,130.811,130.844,30354,0,0
303,1675944000,130.844,131.115,130.672,130.796,23798,0,0
304,1675954800,130.794,130.964,130.344,130.907,29648,0,0
305,1675965600,130.907,131.465,130.907,131.44,23910,0,0
306,1675976400,131.44,131.651,131.372,131.556,15508,2,0
307,1675987200,131.564,131.767,131.344,131.565,20326,2,0
308,1675998000,131.565,131.889,131.499,131.764,19625,1,0
309,1676008800,131.764,131.807,131.431,131.578,24327,0,0
310,1676019600,131.577,131.634,129.803,130.94,53349,0,0
311,1676030400,130.941,131.18,130.744,130.932,22579,0,0
312,1676041200,130.932,131.401,130.581,131.328,35524,0,0
313,1676052000,131.328,131.576,131.299,131.551,18718,0,0
314,1676062800,131.551,131.599,131.359,131.372,9046,2,0
315,1676246400,131.335,131.742,131.335,131.698,11852,2,0
316,1676257200,131.698,132.144,131.649,132.026,17143,1,0
317,1676268000,132.026,132.305,132.024,132.226,20140,0,0
318,1676278800,132.223,132.772,132.014,132.684,28350,0,0
319,1676289600,132.684,132.763,132.356,132.432,19502,0,0
320,1676300400,132.431,132.875,132.382,132.802,30188,0,0
321,1676311200,132.802,132.911,132.432,132.501,12858,0,0
322,1676322000,132.502,132.518,132.256,132.408,8298,2,0
323,1676332800,132.373,132.468,132.111,132.137,13319,2,0
324,1676343600,132.137,132.201,131.912,132.035,17765,2,0
325,1676354400,132.034,132.071,131.786,131.952,18202,0,0
326,1676365200,131.952,132.143,131.844,132.02,27982,0,0
327,1676376000,132.021,132.347,131.991,132.023,29917,0,0
328,1676386800,132.026,133.133,131.5,132.829,55320,0,0
329,1676397600,132.829,133.315,132.705,133.103,26170,0,0
330,1676408400,133.103,133.225,133.003,133.106,9887,2,0
331,1676419200,133.135,133.146,132.668,132.715,12638,2,0
332,1676430000,132.715,133.081,132.544,133.042,15220,2,0
333,1676440800,133.04,133.388,132.965,133.321,17703,0,0
334,1676451600,133.317,133.488,133.19,133.366,27006,0,0
335,1676462400,133.366,133.727,133.207,133.676,17804,0,0
336,1676473200,133.686,134.317,133.638,134.274,38887,0,0
